Date,Open,Adj Close,High,Low,Body Size,Upper Shadow,O/C Low Area,O/C High Area,Ratio,O/C > Last Year,O/C < Next Year,Higher > Last Year?,High > Next Year,Likely Gravestone
45016,162.4400024,164.4501495,165,161.9100037,2.010147095,0.549850464,0.26499939,0.274925232,1.037456095,TRUE,FALSE,TRUE,FALSE,FALSE
45019,164.2700043,165.7166901,166.2899933,164.2200012,1.446685791,0.573303223,0.025001526,0.286651611,11.46536466,FALSE,FALSE,TRUE,FALSE,FALSE
45020,166.6000061,165.1781769,166.8399963,165.1100006,1.421829224,1.661819458,0.034088135,0.119995117,3.520143241,FALSE,TRUE,TRUE,TRUE,TRUE
45021,164.7400055,163.3132629,165.0500031,161.8000031,1.426742554,1.736740112,0.756629944,0.154998779,0.204854144,FALSE,FALSE,FALSE,TRUE,FALSE
45022,162.4299927,164.2108307,164.9600067,162,1.780838013,0.749176025,0.214996338,0.374588013,1.742299503,FALSE,TRUE,FALSE,TRUE,FALSE
45026,161.4199982,161.5879822,162.0299988,160.0800018,0.167984009,0.442016602,0.669998169,0.221008301,0.329864037,FALSE,FALSE,FALSE,FALSE,FALSE
45027,162.3500061,160.3613434,162.3600006,160.5099945,1.98866272,1.998657227,-1,0,0,FALSE,FALSE,TRUE,TRUE,FALSE
45028,161.2200012,159.663269,162.0599976,159.7799988,1.556732178,2.396728516,-1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
45029,161.6300049,165.1083527,165.8000031,161.4199982,3.478347778,0.691650391,0.105003357,0.345825195,3.293467994,TRUE,FALSE,TRUE,FALSE,FALSE
45030,164.5899963,164.7593231,166.3200073,163.8200073,0.169326782,1.560684204,0.384994507,0.780342102,2.026891522,FALSE,FALSE,TRUE,TRUE,FALSE
45033,165.0899963,164.7792511,165.3899994,164.0299988,0.310745239,0.610748291,0.37462616,0.150001526,0.400403234,TRUE,FALSE,FALSE,FALSE,FALSE
45034,166.1000061,166.0158844,167.4100037,165.6499939,0.084121704,1.394119263,0.182945251,0.654998779,3.580299429,TRUE,FALSE,TRUE,FALSE,FALSE
45035,165.8000031,167.1727142,168.1600037,165.5399933,1.372711182,0.987289429,0.130004883,0.493644714,3.797124413,FALSE,FALSE,TRUE,TRUE,FALSE
45036,166.0899963,166.1953888,167.8699951,165.5599976,0.105392456,1.674606323,0.26499939,0.837303162,3.159641849,FALSE,TRUE,FALSE,TRUE,FALSE
45037,165.0500031,164.5698395,166.4499969,164.4900055,0.480163574,1.880157471,0.039916992,0.699996948,17.53631498,FALSE,FALSE,FALSE,TRUE,FALSE
45040,165,164.8789825,165.6000061,163.8899994,0.121017456,0.72102356,0.494491577,0.300003052,0.606689913,FALSE,FALSE,FALSE,FALSE,FALSE
45041,165.1900024,163.3232422,166.3099976,163.7299957,1.866760254,2.986755371,-1,0,0,FALSE,TRUE,TRUE,TRUE,FALSE
45042,163.0599976,163.3132629,165.2799988,162.8000031,0.253265381,1.96673584,0.129997253,0.98336792,7.564528435,FALSE,FALSE,FALSE,FALSE,FALSE
45043,165.1900024,167.950592,168.5599976,165.1900024,2.7605896,0.609405518,0,0.304702759,0,TRUE,FALSE,TRUE,FALSE,FALSE
45044,168.4900055,169.2171173,169.8500061,167.8800049,0.727111816,0.632888794,0.305000305,0.316444397,1.037521575,TRUE,FALSE,TRUE,FALSE,FALSE
45047,169.2799988,169.1273651,170.4499969,168.6399994,0.152633667,1.322631836,0.243682861,0.584999084,2.400657483,FALSE,FALSE,TRUE,TRUE,FALSE
45048,170.0899963,168.0802307,170.3500061,167.5399933,2.009765625,2.269775391,0.270118713,0.130004883,0.481287954,FALSE,FALSE,FALSE,FALSE,FALSE
45049,169.5,166.9931946,170.9199982,167.1600037,2.50680542,3.926803589,-1,0,0,FALSE,TRUE,TRUE,TRUE,FALSE
45050,164.8899994,165.3377228,167.0399933,164.3099976,0.447723389,1.702270508,0.290000916,0.851135254,2.934939886,FALSE,FALSE,FALSE,FALSE,FALSE
45051,170.9799957,173.0965118,174.3000031,170.7599945,2.116516113,1.203491211,0.11000061,0.601745605,5.470384242,TRUE,FALSE,TRUE,TRUE,TRUE
